"Company","Position_Title","Review_Title","Cons","Pros","Review_Date","C_F_Employee"
"Meta","Software Engineer","Bad Ethics","work life balance, company ethics, racial/gender discrimination","office food and ambience, perks","Feb 10, 2021","Former"
"Meta","Software Engineer","Poor management and teams","This is a performance based company, which means everyone optimizes for short-term wins. This includes metric inflation and lots of politics.","Pay is great
Perks/benefits are great","Feb 2, 2021","Current"
"Meta","Software Engineer","WLB not good","Work life balance not good.","Great coworkers and challenges to work on.","Jan 30, 2021","Former"
"Meta","Software Engineer","system control","not a bad gig lol","yea it was good232 sf","Jan 16, 2021","Current"
"Meta","Software Engineer","Don’t join. Save yourself the hassle","Horrible WLB, poor management and constant fights with teammates over good work","Good benefits and perks for most prt","Jan 14, 2021","Current"
"Meta","Software Engineer","Mixed Management","Very Competitive, a lot of managers were promoted prematurely, loose on applying standards","Talented People, Many opportunities, Great benefits","Dec 8, 2020","Former"
"Meta","Engineer","Authoritarian","Literately a one man show. We have a team focused on civic integrity but really, Mark is the only one that dictates the rules of Facebook. Community standards are not real. Oh, and poor diversity and inclusion but when you create a product that marginalized minorities and give white people a megaphone to spout hate, what do you expect?","The company throws a lot of money at you and you can do interesting work, but you’re 1) contributing to disinformation and partisanship, and 2) climate change with the vast amount of data centers to just spread hate. Double whammy for the world.","Dec 5, 2020","Current"
"Meta","Software Engineer","the best","the best place in the world","nothing bad is happening here","Aug 27, 2020","Current"
"Meta","Software Engineer","Horrible Culture","so disorganized and no one in charge","Free food and fun activities","Aug 12, 2020","Former"
"Meta","Software Engineer","Horrible terrible company with worst culture","At Facebook I got to know what ""gaslighting"" really means. Gaslighting is exactly what is the culture that is imposed top-down by management. It starts at the bootcamp. There, you'll be properly brainwashed how cute and cuddly Facebook is, how unfairly it is being treated by everybody, how great and kind the Czar and his ruling gang is, and how grateful and privileged you (a despicable useless worm) should feel to be here! Right there, in the bootcamp, they will start the abusive treatment by telling you ""why on Earth did we hire you? You do not submit any code during last 24 hours!"" This abuse and fostering of your impostor syndrome will keep going on. Typical Facebook-style management is when you are being repeatedly told ""I have no idea how did you got here, and if how come you were not fired yesterday - but OK, we'll give you one more chance"".  This is part of this culture! 
There is a STACK RANKING! It's in tooling, in manager training materials! The fact that Facebook officially denies doing it is a yet-another confirmation that this company doesn't shy away from crime. Stack ranking means that all colleagues see each other as a competition. When I started my job at Facebook, my closest colleague didn't want to talk to me, because he knew that the better I succeed, the worse is for him. This is very profound and affects everybody: it's a hostile work environment. 
Performance reviews is a complete sham. There is one ""axis"" which is related to your actual performance. The other 3 (three!) axes (direction, etc.) is a complete baloney, and can be used to justify ANY rating for anyone. All managers are deeply ignorant schmoozers. 

Cult means there are plenty of taboo topics for which you'll be fired. There are, for example, internal ""non-managers"" groups, which are patrolled for any signs of dissent. If a person posts anything out of line there, this gets straight to his manager and HR. 
HR is the worst people I've met. They enforce the authoritarian rule ruthlessly and with cynicism. 

Working at Facebook has permanently damaged my faith in humanity. I realized that people can still do horrible crimes, given enough brainwashing. That people can treat each other like animals, given stack ranking.  I wish I never joined this scam of a company, a lousy swamp filled with ghosts who pretend to be humans!","Free food, good salary, hype","Mar 23, 2020","Former"
"Meta","Software Engineer","Bad company","Zuck is bad zuck is bad","No pros no pros no pros","Aug 19, 2019","Former"
"Meta","Engineer","HR driven, rudderless company","Oppressive twice a year reviews that have employees turn on each other and management. Bottoms up leadership means there is no leadership. Zero direction, multiple people working on the same project in silos. Innovation hostile even though management talks about innovation all the time. If you are not young Asian, white or Indian you may be uncomfortable. The 5% of toxic employees do a lot of damage because there are so many nice people. My group, strange as it may seem is very conservative with a lot of ex-military. This mind set perhaps works for the military, but not a tech company in a rapidly changing world.","95% of the people are fantastic. Life long friends. Pay and perks are great. The company (not some of the employees) tries to be inclusive. 
Facebook is a great platform, and the company, regardless of what the press says, is made up of a lot of ethical people that want to do the right thing.","Jul 18, 2019","Current"
"Meta","Software Engineer V","Great place for kids - JOB == LIFE","Facebook has created a truly toxic environment - it is hyper-competitive. Rarely a day goes by without talk of being impact-full, impending reviews or cross calibration. So much time-effort is wasted on internal posts shamelessly describing improvements (which are often just fixes to your own shoddy work). 

Like working in chicken coop?

Beware, role deflation - you will get a pay raise when you join, but, typically, you will be just another software engineer (like any new grad) - regardless of your experience.","Great place for young kids out of school. You have to ""play the game"".","May 22, 2019","Current"
"Meta","Software Engineer","Worst company to work with if you want only work but not work life balance","manager , ethics, no balance between work and personal life","Good food and team with different dimensions","Apr 4, 2019","Former"
"Meta","Data Engineer","Some adventures are not worth taking","1) the job I got is not the job I thought I was getting:
  As an engineer, with engineer in the title, and over 10 years of experience, I really thought I would get to do more engineering.  Unfortunately, the job is really about 50% business analyst and 20% project management, and 30% engineering.  You are expected to own every aspect of your project, regardless if anyone else actually does.  Also, you're told you have the opportunity to choose the team you want to be on, but for me, that choice was removed at the last minute.

2) bad management, bad leadership - all managers are expected to be individual contributors which is basically another way of saying that they aren't particularly good at either, and do not have time to devote to both roles.  Also, be prepared for mansplaining.

3) more money than sense:  gobs and gobs of money are being thrown around.  there's basically an offsite every other week.  Nevermind about work, deadlines, or being competent, it's more important to go glassblowing.  The pay is nice, in fact, its the best feature about the place.

4) the company that wants to connect the world would rather loose talent than have remote workers.  no, seriously.  say you're on a team, and your team decides to move to another office thats like 1 hour away.  you are kicked off the team and put on another team.  what sense does that make?  new mom wants to wfh?  not allowed. 
 Seriously, it's called skype, people.  

5) and speaking of teams, the team structure is completely whack.  instead of having a core group of people I work with on many projects, I have a different group of people I work with on each project.  a completely different set of swe, pm, ds, and de for each project.  This completely limits our ability to grow more efficient with each project, let alone build any sort of a professional relationship.

6) you're not allowed to fix things that are legit broken.  I've only been here a short time and have already had to suffer fools who prefer poorly designed metrics with political bs to actually measuring things properly.  bug 1 told not to fix it - too big to fail, bug 2, never got fixed by other team, bug 3, too high profile to fix.  seriously?  why not just admit all your metrics are wrong?

7) people care more about performance reviews than actual performance.  no really, if I hear the phrase make ""an impact"" I will vom.  What this really means is not ""do good and useful work"" which is how it might be interpreted, instead it means that you should very little on the very high profile projects, and then post it everywhere, to make sure people NOTICE.  Also, keep a log of your work so that you can share it with your absentee manager come review time - otherwise, he (yeah I said he) likely will have no idea what you worked on or why.  But, instead of this being a meaningful signal, it just becomes more noise.","free food, free t-shirts, free laundry, good pay.
If you're right out of college, this might be the place for you, but that's mostly because you wont have much work experience to compare it against.","Nov 19, 2018","Current"
"Meta","Software Engineer","Worst experience of my life.","I worked at the Instagram ads feed ads solution team as software engineer, why selected this team was because what they did was more related to my previous experience.

Turn out what you are capable of is not an important thing. 

Do not know about other teams at Facebook, this is definitely worst experience of my life.

The manager is very picky,  micromanaging, very unprofessional. The way he used to manage is the threat and provoke people's fear. I did see how they can encourage and motivate others.

It is a sort of office politics and chaos regard to the code, document and the procedure.","Compensation is a little bit better compared with similar companies. But Price-performance ratio is quite low.
Everything looks good.","Oct 27, 2018","Former"
"Meta","Software Engineer","middle management needs to go","high turnover in management
management will make you pay for giving them bad reviews
management is not trained to do their job and will cause talent to leave
fb has no interest in fixing this","fredom to work on high impact projects, food, benefits","Oct 13, 2018","Current"
"Meta","Software Engineer","Minorities not welcome here","If you are a minority management will isolate you.
Facebook pretends to care and provides training to 'fix' minority attitude.
As a non-minority I find this disgraceful.
Facebook does not value diverse views and tries to 'manage out' non-conformists.","Pays the checks, free transportation and food","Sep 1, 2018","Current"
"Meta","Senior Software Engineer","Company without a soul","warning: stay away if you are a senior engineer.
inexperienced management will drive you nuts.
just another google clone.","Free food and laundry are the only pros.","Aug 18, 2018","Current"
"Meta","Software Engineer","Software Engineer","No work life balance, culture is so bad. It almost squeezed you all your time and give you a great pressure.","No Pros for the people join in after ipo.","Jul 12, 2015","Former"
"Meta","Software Development Engineer","facebook software developer","but the hr is not so good. The food there is so-so.  The environment is not charming. So I decide to other companies.","I think the employees there are prominent, the salary is good and I learnt much. I like its product and creativity.","Jul 9, 2015","Current"
"Uber","Transportation Engineer","Worst customer service","Everything else is bad yeah","Pay is good at times","Jul 28, 2022","Current"
"Uber","Engineer","This company is no longer recommended.","The middle managers are inexperienced and, often, useless. They get in the way and block almost everything.
As the industry is getting near maturity, there seems to be no more room for growth for a employee's career, particularly the creative one's.","This company is sort of a brand in the industry. It looks good to outside.","Jun 23, 2022","Former"
"Uber","Engineer","Bad culture, leadership is unwilling to change.","incredibly bad culture, rank-and-file employees must follow orders, not question them.","Office in the City, free food","May 9, 2022","Former"
"Uber","Senior Staff Engineer","Bad culture","I have not seen Empathy in this company.
Big rat race.
Managers are busy in politics promoting their friends or pets.
Managers lost touch of the technology.","If lucky you can get to work on some of the complex problems in the industry.","Jul 18, 2021","Current"
"Uber","Engineering Manager","Uber is it's own worst enemy","Leadership is ineffective and for show at best. They're ok at making a presentation to the team but terrible when it comes to leading from the front. This is a company that is driven by 30 year old Directors who don't take the time to listen to each other. Widespread assumptions lead to poor decisions. Director level employees blame each other for problems. It's not collaborative...hell, it's not even competitive. It's a culture that runs in silos and creates a lot of unforced errors. 
Additionally, as a manager, you are frequently challenged to prove why you should continue to work there.","High Salary, High Value stock award, great food, great workplace","Feb 19, 2021","Former"
"Uber","Senior Software Engineer","Low-balled","Too much politics, reorg and terrible pay for early joined employees","You can learn a lot how a toxic culture is in tech company","Feb 7, 2021","Current"
"Uber","Software Engineer II","Not worth the emotional turmoil.","Treated people like they were disposable.","Semi good employee health benefits.","Sep 17, 2020","Former"
"Uber","Junior Software Developer","Dont care about their drivers","customers and pay are terrible.","schedule is the only good part.","Sep 8, 2020","Current"
"Uber","Software Engineer","Toxic environment in Engineering Team","Unfortunately everything! Very toxic environment. Employees in Engineering are not happy and find it a depressing and isolating place to work. Upper management is not transparent and no open communication, it’s a mess! HR will not support or assist you in any way. Please reconsider working with this team.","Uber provides food and snacks along with nice benefits package","Jul 17, 2020","Former"
"Uber","Software Engineer","very political","but overall it's a toxic working env","it has very cool techs","Jul 10, 2020","Former"
"Uber","Software Engineer II","Culture has gone downhill.","* A lot of renters within the company","* Pay is good, there is a growth potential still","Jun 30, 2020","Current"
"Uber","Senior Software Engineer","Management is truly clueness on what to do","Imaginary project value, promotion driven initiatives.","It is shocking to see the level of politics in a company as young as Uber.","Jun 30, 2020","Former"
"Uber","Software Engineer","bad company","layoffs, leadership, politics, more politics","salary benefits smart people engineer","Jun 22, 2020","Current"
"Uber","Software Engineer","Waste of time to be in Uber","1. communication cost is high
2. project domain by PM not engineers
3. laid off would not stop
4. mobile architect far away from market
5. very slow development pace, because of #1 and engineering department generate too many rules for engineer to flow, which significantly delay the product and individual improvement.
6. no culture, people in same office just come and work and then left. Too busy to deal with the #1 issues.","Free lunch, uber credit every month","Jun 6, 2020","Current"
"Uber","Software Engineer","Uber Engineer","Layoff rumors started shortly after I joined the company.","Pay was good compared to other offers.","Jun 3, 2020","Current"
"Uber","Engineer","Tech company becomes capital","Direction of the whole company is going nowhere","Above average benefits. Team members are great","May 14, 2020","Current"
"Uber","Staff Software Engineer","Engineer","Process are not well defined","Challenges, collaboration and over all competing environment","Jan 31, 2020","Current"
"Uber","Software Engineer","Their class action lawsuit on behalf of all women and minorities speaks for itself","Rampant sexual harassment and a wildly disorganized duplication of work and conflicting goals at every level of the organization","The food is not bad.","Aug 22, 2019","Current"
"Uber","Client Platform Engineer","I left a nightmare of hypocrisy","I had 5 different managers in the 2.5 yrs I was here. My last manager was the most toxic person I've ever encountered in my entire life. We were constantly encouraged to speak up against bully management and when I did, I was shown the door. This individual was not respectful of my mental health conditions and was downright insulting on a regular basis. I actually had started up a lawsuit against him and was told that my proof of his conduct wasn't admissible in court, which does not negate his guilt. After leaving I learned that he continued to bully his subordinates without consequence and was also rated the worst manager in IT just after he was promoted after being on the team for only 6 months. I was turned down for promotion multiple times due to the fact that I never had a manager who paid attention or cared about what I was doing. If my work didn't put this person on a stage, it wasn't important to him. He became buddies with the HR rep and that's when he made it all about me and said that I was the problem. I stood up against blatant disrespect and abuse and I was forced out. This culture hasn't changed, it's reality is just shoved under the rug.","My co-workers were awesome.","Jun 3, 2019","Former"
"Uber","Engineer","stressful","lack of communication
bad management
bro culture still exists","good pay and good benefits","Apr 17, 2019","Former"
"Uber","Eng Manager","Nothing has changed","All the Toxic Managers hired prior to Dara are still here and still killing the company.","Great IC's and lots of fun hard work.","Apr 17, 2018","Current"
"Uber","Android Engineer","Worst work life balance ever","Pushy management
absolutely no work life balance (o unlimited vacations you say? Let me dump 10 projects on you before you leave, and after you finish then you can go)
want 7-8 hours of sleep like a normal human being? too bad you're only going to get max 4 hours. expect to work 8 more hours after you get home, and the cycle starts over again.","free disgusting watery chicken for lunch every day. sometimes when the previous day's food isn't finished, its served the next day. yummm...","Oct 25, 2017","Current"
"Uber","Software Engineer","Don't be a software engineer at this company","Terrible culture and management team. No work life balance. Extremely long working hours and hard to get vacation days to recharge.  You have to work even when you are sick.","Lots of smart and young engineers to work with. But the working environment is competitive instead of collaborative. You need to be very aggressive and good at stepping on other's shoulder to move up.","Jul 19, 2017","Former"
"Uber","Senior Engineer","Senior Engineer","Uber is one of the worst places I worked in my career.  I read a lot about the reviews before joining company thinking that all that is personal experience. But, it did not turn out good.  Managers keep changing,  competing teams, work environment is competitive in unhealthy way to the fact that you will not enjoy day to day interactions.","Pre-IPO company, business doing well","May 6, 2017","Former"
"Uber","Software Engineer","Stay away from this company.","Politics. Too much of it. Left the company within a year since I could not handle the continuous nepotism, criticism etc of work. We are expected to work like crazy and anyone who does anything other than work is frowned upon. No work life balance. Not worth joining now that the upside is also not much. 

Recruiters talk trash of Uber being a $500 B company in the future. I would be surprised if they even sustain their current valuation.","Company is growing fast. Lots of technical challenges. Less of legacy baggage.","Apr 25, 2017","Former"
"Uber","Senior Software Engineer","Terrible Management","Stupid managers are quite bad","Perks and gym membership are good","Mar 31, 2017","Former"
"Uber","Software Engineer","Pathetic Culture","There is very little to learn. The company is full of new college grads who hardly know how to write maintainable code. The company has a very little sense of direction and believes in throwing money at every problem.

The CEO believes that employee should at least put in 80 hrs/week. No work like balance.","Great Brand name. Exposure to some great problems in the industry.","Mar 3, 2017","Former"
"Uber","Senior Engineer","Good for uber koolaid drinkers","Very long hours
Chaotic
Bad architecture
Not good for experienced folks.","Opportunity to push a lot of code.","Feb 20, 2017","Former"
"Uber","Engineer","No diversity at all, fraternity like culture","No work life balance
No diversity
No growth opportunities especially for women or minorities
Toxic culture","Good opportunities to learn
Interesting challenges","Feb 20, 2017","Current"
"Uber","Site Reliability Engineer","Backstabbing, insane, entirely focused on appearances","There's a culture of complete incompetence, with buck passing forever and cargo culting rampant. There's no unifying culture, there's just enclaves, each worse than the last.","The pay is good, and they're great swindlers","Jan 13, 2017","Current"
"Uber","Software Engineer","Hard to Imagine A More Unpleasant Place to Work","- Ultra-aggressive deadlines, cumbersome processes, and huge workload.
- Daily firing (stack ranking and constantly letting ""bottom performers"" go)
- Terrible place for new grads as there are no grace periods to ramp up or learn. Many let go after just two months.
- Offers no longer competitive with many established companies when one considers the misleading nature of the preferred share prices. 
- Incredible amounts of politics (company culture encourages back-stabbing amongst colleagues)
- Company lies to recruits (stating huge bonuses, using preferred share prices to calculate equity compensation, promises for quick promotion, etc).
- Bad food with dinner served at 8:15.
- Firing people right before their stock vest cliff.
- Equity won't be liquid for a long time, if ever.
- Highly stressful environment.","- Work with some very brilliant people.
- Opportunity to learn a lot about software design, data analytics, marketing, biz dev etc.
- Center of attention at cocktail parties since you are working at the hottest company in the world.","Jul 31, 2016","Current"
"Uber","Software Engineer","Software Engineer","- Very unprofessional way of firing someone. Called at 8:30 pm to say don't come to work the next day. Was given no reason for termination since it was at-will. They're in the clear legally but definitely an unprofessional way of terminating someone. 

- Not a great work life balance. People needed to stay till 7 or 8pm at work to get their stuff done.","- Great work environment, coworkers were super friendly and helpful.

- Open to new ideas and laid back culture.","Jul 11, 2016","Former"
"Uber","Senior Software Engineer","Be careful","Working 60+ hour weeks is normal here, engineers also work weekends frequently. It's hard to get leave for more than a week (even though it's supposed to be unlimited). There's a culture of sexism and sexist jokes which seems to be tolerated by senior engineers and management.

Lots of engineering problems - system failures, downtime, lots of on-call work and stress, cost cutting is pretty rampant too, it's hard to get the things you need to do your job and you have to work with limited resources. 

The pay is also much lower than you can get at other companies. If you want high stress, low compensation then Uber is the place for you.","Lots of growth, plenty of work to be done, if you can handle the culture.","Apr 15, 2016","Current"
"Uber","Senior Software Engineer","It's going to get worse","All the pros mentioned above are old story. The food quality has gone from bad to worse and it's not even edible anymore. Uber has hired people left, right and center. Managers hire people from their previous companies, either peers or reports, so that they have people to support them. Almost all the managers and higher management guys are super selfish and arrogant. NOBODY thinks about advancing their reports and taking their team together with them. This is what happens when you hire people who have never managed a single person or people who already have a bad reputation at their previous companies and to them, joining Uber seemed a great way to start from a clean slate. Employees are being fed BS by their managers when they ask questions. Loads of politics has just crept into everything and the work culture here sucks. It will not be surprising if they find their talented engineers looking for opportunities outside the company. It's not the same anymore. I really hoped this was it for me, but apparently it's not.","When I joined a year back, there were quality people with a mission. There was excitement in the work. People who did well got the praises on their own without politics playing any role in it.
Free food and drinks all throughout the day.","Mar 11, 2016","Current"
"Uber","Software Engineer","High rates of burnout among engineering","Lots of pressure, long hours (face-time is emphasized), little mentoring, conflict between management and team members, very hierarchical structure.  Significant growing pains with the hyper-growth.  Seems to be lots of burnout and many people feel trapped into just staying for their stock options.","The product is great and it's nice that the company is doing so well.  Fun and interesting coworkers","Oct 29, 2014","Current"
"Uber","Quality Specialist","Uber Limerick","Long hours
Very little room for progression 
A lot is expected of you with no salary increase
Bonus scheme is based upon how the team does as a whole and not on individual bases - very disheartening overall 
No parking
The Smell of sewage throughout the building
Feedback given is not beneficial and does not reflect company motto
Once a disliking is taken to someone it is near impossible to progress
Petty feedback is given yet serious issues like bullying are ignored even when reported and witnessed
If sick, it is treated as if you did something wrong, multiple sicknesses even with a cert is treated as a warning","Free Food 
Health Care
Nice building","May 12, 2022","Former"
"Uber","Quality Assurance Analyst","The worst","The worst company ever dude, run away","Nothing at all to mention","Nov 9, 2021","Current"
"Uber","Senior Software Engineer","Nice","Hectic, lack of management, lack of vision, Road map not clear","Good perks, Incentives, Productive, Efficient","Jul 26, 2021","Former"
"Uber","Deep Learning Scientist","Interesting applications, poor cooperation","Not the best cooperation or teamwork, resulting in low impact","Interesting applications of machine learning models","May 14, 2021","Current"
"Uber","Software Engineer","Salary","software engineer salary growth for","Salary probably for software engineer","Jan 23, 2021","Current"
"Uber","Software Engineer","Layoffs","The Company is shifting software engineering jobs to India in order to cut costs. Engineering is no longer a priority in the roadmap.","Free food.
Monthly 200USD Uber credits.","Oct 18, 2020","Current"
"Uber","Civil Engineer","Uber poor service","Uber has a very bad service. Customers are not given any consideration. I had once my account suspended on the app despite having a very good rating from customers. I received a message saying that I would be contacted. Uber did not say when. I had to wait because there was nothing I could do. 
Then, when Uber decided to contact me, I was told that someone has said that I was driving another car. So, when I asked who, I was told that it was confidential. So, I asked what car, what colour and I had the same answer. 
The Uber agent asked me to explain myself. I said that it was really easy to double check that since the car had 3 cameras and that it was a rental car. So, the agent opened the app within the minute without even checking what I said. 
Today, I had again my account suspended and I am told that someone would contact me. I spoke to an agent from Uber who said he could not do anything and that they had a department that deal with accounts suspended that no one could get in touch with.
What a poor service. I understand why the UK Government is so unhappy with Uber. They are offering a very poor service in comparison of much they are making from their customers. Uber is making money with drivers but do not act as business company but rather as a predator.
Regards","Flexibility but with lots of issues.","Feb 8, 2019","Current"
"Uber","Software Engineer","Software Engineer","- Lengthy interview process (recruiters are lazy to reply).
- During recruitment you will hear things like we are very flat management , start-up culture,  we value talent, etc. But in practise when you join and if you want to change your team then Its quite the opposite. They really don't care about talent and YOU are just another use and throw resource for the company
- Fake career promises
- Recruiters as well as team managers are trained to lie and deceit on every stage
- Extremely poor relocation support
- You cannot unleash your potential or talent when it comes to programming, company bureaucracy, policies and hierarchy overtakes everything.
- Only few limited teams have the pleasure to do some cool stuff.","Free uber riders per month","Aug 25, 2016","Former"
"Uber","Engineering Manager II","Don't try it","it doesn't worth it to try","the company is not stable","May 14, 2022","Former"
"Uber","Software Engineer","Interesting technical problems, broken org","Organizationally dysfunctional. Too many people in line-of-control conflicts at all levels of the company. After two rounds of layoffs, the ability to hire and retain talent is not great.","Interesting technical problems on a product people use all the time.","Mar 27, 2022","Former"
"Uber","Android Engineer","toxic culture","terrible org management, too much politics.
some PM's can be laughable as they know nothing about the product but position themselves as ""experts"".
the company doesn't care about people. HR is outsourced and doesn't care about you at all, they just love closing supporting tickets","mobile codebase still holds good quality
some engineering coworkers can be quite supportive","Feb 13, 2022","Current"
"Uber","Vice President Software Development","A lot of work for any person to take on","Odd culture where good enough is fine.
Not the ""A"" team for my group.","Work at a pace that right for you.
Not expected to work specific hours.
Pay very well considering low performance.","Jan 27, 2022","Current"
"Uber","Software Engineer","Great Benefits, Out of touch management","tons of attrition, top-down management that does not promote career growth (org specific)","great benefits (good insurance, great gym, wellness stipend, new office)","Dec 21, 2021","Current"
"Uber","Senior Software Engineer","it's a sinking ship","a company that the wall street hates, gig economy with unpromising future","nice building, nice food, great wlb","Sep 17, 2021","Current"
"Uber","Software Engineer","Chaotic","Chaotic and inconsistent engineering practices
Not an engingeering-driven culture despite billing themselves as a tech company - too quick to utilize ops bandaids over technical infrastructure
Tight deadlines
Questionable ethics","Solid compensation
Market leader, international presence
Social coworkers","Jun 8, 2021","Former"
"Airbnb","Senior Quality Analyst","Nepotism rules","Advancement based purely on who you know
Higher ups care only about the bottom line, worker needs are never met.","Extremely laid back work environment.","Oct 7, 2021","Former"
"Airbnb","Data Engineer","It Is Not What It Appears From The Outside","- Data Engineers Are Treated As Second Class Citizens.  
- Blogs might give you the impression that there is fancy engineering or data science going on at Airbnb, but that is not true, with the exception of a few open source projects.  We have a hard time attracting top data science talent relative to our peers.   
- Many managers are not technical enough to understand what we are doing, leads to a bungled performance review process. 
- Arrogant attitude that this is the best place to work and why would you want to work anywhere else.  Not sure where we lost our humility along the journey...
- Lots of red-tape, the speed and innovation at which things happen extremely slow.  Generally people are risk averse","Airbnb is no doubt a rocket ship.   The culture is great, breeds friendliness.   Some of the smartest people around in Silicon Valley.","May 7, 2017","Current"
"Airbnb","Software Engineer","Feeling insecure all the time","The company is very very political due to the way it evaluates its employee performance. The management is not putting much thought into the overall employee experience of the company.","The company is still growing very fast.","Dec 7, 2016","Current"
"Airbnb","Senior Software Engineer","Decent","A borderline religious obsession with equity that transcends doing any meaningful diversity work.","Good WLB, and a decent experience if you can find the right team to join.","Oct 15, 2022","Current"
"Airbnb","Staff Software Engineer","Not the Airbnb it was pre-IPO","- Since the IPO, the company has shifted to twice yearly release cycles, and they still haven't quite figured out how to do it in a way that doesn't burn out all their employees
- Work-life balance is something you have to fight for, not something that's assumed
- Management quality is a mixed bag, and there's not consistent training for managers to improve
- Currently, all designs have to go through CEO review, which creates a large bottleneck on decision making
- Deadlines for projects frequently aren't based on the size of the project, but the desire for an idea to align with an upcoming release
- Lots of reorgs, especially when leaders from a different company join","- There are still some amazing people who work there (for now)
- Compensation is solid and the stock is doing well
- CTO has really helped improve the technical direction of the company
- There are interesting problems to solve
- D&I efforts within the company have seemed to improved","Apr 1, 2022","Current"
"Airbnb","Software Engineer","Good business, toxic culture, lame technology","Rather political environment - it seems to me that making ""friends"" and pleasing your manager is more important than doing solid work. Fake and hypocritical. I feel they don't practice what they preach.

Another complaint I have is on the engineering side. There are many talented engineers hired from top schools and FB/GOOG/AMZN/LNKD/MSFT, but miraculously the quality of Airbnb's engineering is not that good, as you can tell from how slow the website and the app are even today. Again, this probably is related to the culture of the company.","Good business. Beautiful office. Good work-life balance. Competitive compensation. Some 401k match. Overall nice people.","Sep 3, 2018","Former"
"Airbnb","Software Engineer","Decent company, poorly run engineering org","- More of a hospitality company than a tech company. Engineering isn't a core part of the culture, and it shows in the quality and visibility of the team's work.
- Systems receive low traffic levels (compared to those in search, ads, social networking, etc.), so little need to improve efficiency or innovate in the backend space
- Weak engineering leadership that won't make hard technical decisions, push through cross-team initiatives like SOA
- Senior IC promotions and external hires based more on visibility than technical skill and impact
- Steady stream of departures by strong engineers and managers
- Culture of niceness and praise to the extreme. Hard to provide constructive feedback, push back against bad projects.
- Cramped, noisy desk areas with low-quality monitors and office furniture
- Below average meals and snacks","- Visually appealing office
- Good salary and benefits
- Free food
- Company has a good external reputation, solid growth potential","Mar 11, 2018","Former"
"Airbnb","Software Engineer","It has changed...","- No upward mobility
- Chaotic management
- Boring work","- Pre IPO,  great pay
- Nice people
- Relaxed environment","Nov 6, 2017","Former"
"Airbnb","Software Engineer","Beware of the health insurance","Check the fine print  on the benefits if you are coming from another tech company. Especially if you have or planning to have a family and need good health insurance. That was the biggest surprise for me, and will probably be one of the reasons I decide to eventually leave.","Positive culture
Fast pace of growth
great mission
Excellent people","Dec 22, 2015","Current"
"Airbnb","Senior Software Engineer","Hope you like Capital-P Process","A designer-driven company with an aversion to any kind of data-driven design - or even collecting data on user behavior. 

As an engineer, expect to be treated like a fungible cog, unless your manager really has your back and knows how to use political subterfuge to keep you safe.","Good work-life balance, and the company generally does a good job at not hiring jerks.","Sep 22, 2021","Current"
"Airbnb","Engineering Manager","Good culture marred by weak tech stack and divided management","Old slow tech stack - not a tech company","Strong culture, a sense of belonging","Mar 22, 2021","Former"
"Airbnb","Junior IOS Developer","neural","overworked. low pay. little growth","good health benefits. Fast pace","Dec 6, 2020","Current"
"Airbnb","Software Engineer","growing pains that seem to go on forever","REALLY bad management at all layers, technically immature and bad tech debt decisions will affect the company for years, concerned about poor leadership / toxic orgs","a great mission, a dedicated CEO, good compensation, interesting engineering work can be found","Aug 31, 2020","Current"
"Airbnb","Software Engineer","Slowing growth","The company's growth was slowing, without any clear strategy of how to reverse the trend.","Positive, fun culture. Lots of smart coworkers.","Jun 9, 2020","Former"
"Airbnb","Software Engineer","Great Place to Work But Company Culture Feels Like a Cult","They love promoting their work culture and thinks it's absolutely amazing. It's great if you fall very much to the left of the political spectrum like the rest of the company (and SF). But if you happen to have a couple right-wing sympathies like me such as expressing your admiration for Ben Carson in a team lunch, you will be met with frowns and disdain. I overheard an argument where a co-worker said he opposed universal income and everyone around him started to argue with him. I'm pretty sure if you said you liked Trump in any way, you'd be out of the building with all your possessions in a box.

Also the co-founders are infallible and worshipped by everyone on the team. Their ""Is Mankind"" campaign was a terrible ""Emperor's New Clothes""-esque flop but no one dared to correct them.","- great benefits and work life balance
- good hiring bar
- friendly co-workers
- relatively little office politics","Mar 9, 2018","Former"
"Airbnb","Software Engineer","People are nice, sometimes overly nice, almost hypocritical","Cannot speak for other teams, but in my team, performance is purely based upon results. And not on any good results, but certain results desired by the management. You could easily find your contribution ""annulled"" because those results aren't what are cared about by managers. 

People tend to avoid direct confrontation and being nice in the first place, then you might find yourself backstabbed. Are there lots of politics? I've seen worse in other places. Lots of people pretend to be caring about core values, cultures, goodness but actually what they care might just be stock units and compensation. This is frustrating to me as I sincerely joined because of some idealistic belief. Now I'm just loathing myself for being naive and stupid.

Well, guess I'll just have to eat the xx up and carry on....","People are nice to each other. Lots of positive thinking; lots of cheerleading. My team is hosting birthdays, anniversaries for every member.

Definitely politically correct, sometimes feel like overly correct.","Apr 27, 2017","Current"
"Airbnb","Software Engineer","High expectations, low impact","Engineering management is really bad. Managers do not pay attention to career growth given that career ladder is taboo inside the company, nobody talks or knows their position is, so don't expect your manager to advice you much about how to go from level a to level b, c ... etc. 

When people get bored at their current position they either switch teams or branch out to management (lateral moves) which feeds back into the problem where management focuses on reporting green numbers to upper management.","Good benefits and pay. Definitely a cool company to work for resume-wise. A good IPO will be a big pay day to employees but if you don't care much about money maybe other companies can be more challenging and better for your career.","Nov 7, 2016","Current"
